0,1
/content/sentences/a01/a01-132/a01-132-05.png,claimed was underpinning - not
/content/sentences/a01/a01-077u/a01-077u-06.png,He said he was waiting for his senior
/content/sentences/a02/a02-106/a02-106-07.png,rest of the country . A Government report has
/content/sentences/a04/a04-035/a04-035-09.png,to surround their President on the tarmac for
/content/sentences/a01/a01-063/a01-063-07.png,payment of a 210million debt to America .
/content/sentences/a05/a05-062/a05-062-04.png,"of Lords last night , gave a warning"
/content/sentences/a01/a01-026x/a01-026x-07.png,"of Sir Roy Welensky , Prime Minister of the"
/content/sentences/a01/a01-030x/a01-030x-05.png,"the Federal Government . Mr. James Callaghan ,"
/content/sentences/a06/a06-090/a06-090-05.png,"raised by Tory critics . Mr. Anthony Fell ,"
/content/sentences/a05/a05-048/a05-048-04.png,In most constituencies it may go down as
/content/sentences/a04/a04-003/a04-003-06.png,laid down to meet the Commonwealth
/content/sentences/a03/a03-073/a03-073-06.png,putting a heavy satellite into outer space .
/content/sentences/a03/a03-020/a03-020-09.png,"Haksat Party , also to the officers"
/content/sentences/a01/a01-007u/a01-007u-04.png,Labour has to have an adequate number
/content/sentences/a03/a03-080/a03-080-06.png,to German participation is the absence of
/content/sentences/b04/b04-034/b04-034-05.png,"personal failure . """
/content/sentences/b04/b04-004/b04-004-01.png,has done more than most to stir up
/content/sentences/a01/a01-003/a01-003-09.png,"which would appear to "" prop up "" an out-dated"
/content/sentences/a01/a01-053u/a01-053u-07.png,in his post . Senator Robertson's committee
/content/sentences/a01/a01-102/a01-102-00.png,""" After a lifetime of helping others and"
/content/sentences/a01/a01-026x/a01-026x-08.png,"Central African Federation , went to Chequers"
/content/sentences/b01/b01-004/b01-004-05.png,do the strongest arguments lie ? THE Archbishop
/content/sentences/a04/a04-096/a04-096-03.png,impossible for the British authorities to
/content/sentences/b04/b04-181/b04-181-07.png,it .
/content/sentences/b01/b01-118/b01-118-02.png,"water in the white areas of South Africa , without rights"
/content/sentences/a03/a03-043/a03-043-00.png,"However , a separate poll revealed that Mr."
/content/sentences/a03/a03-034/a03-034-03.png,of the party since it came to office three and
/content/sentences/b04/b04-202/b04-202-07.png,first journey into Space .
/content/sentences/a01/a01-049/a01-049-10.png,complaints about Weaver's loyalty .
/content/sentences/a03/a03-080/a03-080-09.png,under which funds could be appropriated .
/content/sentences/b01/b01-023/b01-023-03.png,solution would be for the Commonwealth to draft
/content/sentences/a01/a01-107u/a01-107u-03.png,"sick people , is good and attainable ."
/content/sentences/b03/b03-114/b03-114-06.png,roped in . The only result was
/content/sentences/a01/a01-020/a01-020-02.png,blown up . He has now revealed his full plans
/content/sentences/a03/a03-050/a03-050-05.png,correct that image . The bow tie has
/content/sentences/b01/b01-027/b01-027-05.png,success . The Queen has won a triumph . It
/content/sentences/a02/a02-004/a02-004-05.png,"France , to back Mr. Edward Heath , Lord"
/content/sentences/b03/b03-025/b03-025-04.png,and it is an achievement - is to make religious con-
/content/sentences/a02/a02-098/a02-098-04.png,African nationalists . Mr. Macleod has ample evidence
/content/sentences/a01/a01-058u/a01-058u-02.png,America's balance of payments position . He
/content/sentences/a04/a04-019/a04-019-02.png,which should lead to progress toward a Laos agreement at the
/content/sentences/a01/a01-053u/a01-053u-00.png,He said these concerned Mr. Weaver's
/content/sentences/a04/a04-006/a04-006-08.png,"Bundy , the President's special assistant for"
/content/sentences/b01/b01-122/b01-122-04.png,"Capetown , Dr. Joost de Blank , has pleaded that"
/content/sentences/a01/a01-128/a01-128-07.png,service to the Exchequer will have increased over
/content/sentences/a04/a04-050/a04-050-03.png,and refuse proposals with which they did not
/content/sentences/a04/a04-099/a04-099-08.png,"while , on the contrary , they impose upon"
/content/sentences/a06/a06-152/a06-152-01.png,determination is the intention to impose
/content/sentences/b01/b01-084/b01-084-02.png,"3,000 men , who must take about a fortnight to arrive ."
/content/sentences/b05/b05-042/b05-042-10.png,to a different industry if he just gives in and
/content/sentences/a06/a06-020/a06-020-00.png,He was announcing his executive's rejection of the ultimatum to the
/content/sentences/a01/a01-122u/a01-122u-00.png,""" Mr. Powell finds it easier to take it out"
/content/sentences/a02/a02-012/a02-012-00.png,The team is composed of experienced
/content/sentences/b01/b01-094/b01-094-01.png,they must go . The best news for the Congo
/content/sentences/b01/b01-004/b01-004-02.png,wait until South Africa actually becomes a
/content/sentences/a06/a06-008/a06-008-02.png,"legislation . "" Why don't you make proposals to legislate"
/content/sentences/a05/a05-073/a05-073-01.png,Berlin . He deplored the possibility of
/content/sentences/a04/a04-010/a04-010-08.png,talks with Mr. Krushchov this evening .
/content/sentences/a04/a04-092/a04-092-03.png,first of these reasons is the importance of pre-
/content/sentences/a03/a03-011/a03-011-07.png,of the talks in Belgrade - and on both the two
/content/sentences/a03/a03-023/a03-023-09.png,communists' former base 60 miles
/content/sentences/b05/b05-042/b05-042-00.png,What happens is that the unskilled worker
